id,name,domain,color_primary,color_secondary,color_accent,color_background,color_text,mood,best_for,css_gradient,seaborn_palette
corp_blue,Corporate Blue,business,#1e3a5f,#2d5a87,#4a7fb5,#f8fafc,#1a202c,professional,Financial reports executive presentations,"linear-gradient(135deg, #1e3a5f 0%, #2d5a87 100%)","Blues"
trust_green,Trust Green,healthcare,#16a34a,#22c55e,#86efac,#f0fdf4,#14532d,trustworthy,Healthcare sustainability ESG reports,"linear-gradient(135deg, #16a34a 0%, #22c55e 100%)","Greens"
energy_orange,Energy Orange,marketing,#ea580c,#f97316,#fdba74,#fff7ed,#7c2d12,energetic,Marketing creative campaigns startup pitches,"linear-gradient(135deg, #ea580c 0%, #f97316 100%)","YlOrRd"
calm_purple,Calm Purple,research,#7c3aed,#8b5cf6,#c4b5fd,#faf5ff,#4c1d95,thoughtful,Academic research educational content,"linear-gradient(135deg, #7c3aed 0%, #8b5cf6 100%)","Purples"
neutral_gray,Neutral Gray,general,#475569,#64748b,#94a3b8,#f8fafc,#1e293b,neutral,General purpose versatile presentations,"linear-gradient(135deg, #475569 0%, #64748b 100%)","gray"
warm_survey,Warm Survey,survey,#dc2626,#f59e0b,#22c55e,#fffbeb,#292524,friendly,Customer satisfaction surveys NPS reports,"linear-gradient(135deg, #dc2626 0%, #22c55e 100%)","RdYlGn"
finance_dark,Finance Dark,financial,#0f172a,#1e293b,#38bdf8,#020617,#f1f5f9,sophisticated,Trading dashboards financial analytics,"linear-gradient(135deg, #0f172a 0%, #1e293b 100%)","dark:crest"
tech_cyan,Tech Cyan,technology,#0891b2,#06b6d4,#67e8f9,#ecfeff,#164e63,innovative,Tech products SaaS dashboards,"linear-gradient(135deg, #0891b2 0%, #06b6d4 100%)","mako"
earth_tones,Earth Tones,sustainability,#78716c,#a3e635,#fbbf24,#fafaf9,#1c1917,natural,Environmental agriculture organic brands,"linear-gradient(135deg, #78716c 0%, #a3e635 100%)","YlGn"
luxury_gold,Luxury Gold,premium,#b8860b,#ffd700,#1a1a1a,#0d0d0d,#fafafa,luxurious,Premium products high-end services,"linear-gradient(135deg, #b8860b 0%, #ffd700 100%)","dark:rocket"
startup_gradient,Startup Gradient,startup,#ec4899,#8b5cf6,#6366f1,#fdf4ff,#581c87,bold,Startup pitches innovation reports,"linear-gradient(135deg, #ec4899 0%, #8b5cf6 50%, #6366f1 100%)","flare"
gov_formal,Government Formal,government,#1e3a8a,#3b82f6,#93c5fd,#eff6ff,#1e3a8a,authoritative,Government public sector official reports,"linear-gradient(135deg, #1e3a8a 0%, #3b82f6 100%)","Blues_d"
health_soft,Health Soft,healthcare,#14b8a6,#5eead4,#f0fdfa,#ffffff,#134e4a,calming,Patient reports wellness apps,"linear-gradient(135deg, #14b8a6 0%, #5eead4 100%)","light:teal"
data_viz,Data Visualization,analytics,#3b82f6,#10b981,#f59e0b,#ffffff,#111827,analytical,Dashboards data reports infographics,"categorical 12-color",custom
likert_diverging,Likert Scale,survey,#dc2626,#fbbf24,#22c55e,#ffffff,#1f2937,balanced,Likert scale visualizations agreement scales,"diverging","RdYlGn"
sequential_blue,Sequential Blue,analytics,#dbeafe,#3b82f6,#1e3a8a,#ffffff,#1e3a8a,progressive,Heatmaps sequential data magnitude,"sequential","Blues"
sequential_heat,Heat Scale,analytics,#fef3c7,#f97316,#7f1d1d,#ffffff,#1f2937,intensity,Temperature risk severity scales,"sequential","YlOrRd"
diverging_rdbu,Diverging Red-Blue,analytics,#dc2626,#f5f5f5,#2563eb,#ffffff,#1f2937,contrasting,Positive/negative correlation change,"diverging","RdBu"
categorical_10,Categorical 10,general,#3b82f6,#10b981,#f59e0b,#ffffff,#111827,distinct,Up to 10 distinct categories,"categorical","tab10"
categorical_pastel,Pastel Categories,presentation,#a5b4fc,#86efac,#fcd34d,#ffffff,#374151,soft,Presentations light backgrounds,"categorical","pastel"
monochrome,Monochrome,print,#000000,#4b5563,#9ca3af,#ffffff,#000000,minimal,Print black-and-white presentations,"monochrome","gray"
high_contrast,High Contrast,accessibility,#000000,#ffffff,#fbbf24,#ffffff,#000000,accessible,Accessibility-focused visually impaired,"high-contrast","dark"
